Class,Processes,Time,Type
A,4,17.42,RealTime
A,4,20.667099,SimTime
A,4,9.035,RunTime
B,4,65.68,RealTime
B,4,83.862434,SimTime
B,4,14.307,RunTime
C,4,254.97,RealTime
C,4,334.41312,SimTime
C,4,23.529,RunTime
A,8,12.15,RealTime
A,8,13.144183,SimTime
A,8,24.169,RunTime
B,8,39.46,RealTime
B,8,48.586100,SimTime
B,8,38.562,RunTime
C,8,139.38,RealTime
C,8,184.603249,SimTime
C,8,62.857,RunTime
A,16,9.99,RealTime
A,16,8.8112,SimTime
A,16,58.853,RunTime
B,16,26.22,RealTime
B,16,26.10309,SimTime
B,16,95.646,RunTime
C,16,84.74,RealTime
C,16,100.158698,SimTime
C,16,151.838,RunTime
A,32,9.25,RealTime
A,32,5.199599,SimTime
A,32,153.378,RunTime
B,32,20.74,RealTime
B,32,14.729973,SimTime
B,32,240.534,RunTime
C,32,55.55,RealTime
C,32,51.217866,SimTime
C,32,401.682,RunTime
A,64,8.14,RealTime
A,64,3.631849,SimTime
A,64,299.645,RunTime
B,64,15.77,RealTime
B,64,8.987704,SimTime
B,64,549.497,RunTime
C,64,36.48,RealTime
C,64,26.993238,SimTime
C,64,926.209,RunTime
A,128,8.07,RealTime
A,128,3.313962,SimTime
A,128,718.293,RunTime
B,128,14.38,RealTime
B,128,6.762657,SimTime
B,128,1282.661,RunTime
C,128,28.36,RealTime
C,128,17.128259,SimTime
C,128,2092.168,RunTime
