eventID,opcode,subblock,COMP-4b.avg
1,1011,0,6.52
1,1011,1,34.77
2,1113,0,1171650.12
2,1113,1,314005.29
3,1090,0,1179896.95
3,1090,1,124816.48
3,1090,2,83302.51
4,1113,0,140.00
5,1148,0,9.75
5,1148,1,10.84
6,1113,0,1276.56
6,1113,1,234586.00
6,1113,2,44401.86
7,1090,0,8.29
8,1148,0,5.43
8,1148,1,9.65
9,1090,0,95349.53
9,1090,1,103381.62
10,1113,0,123.15
11,1148,0,6.65
11,1148,1,8.82
12,1113,0,1192943.00
12,1113,1,835.82
12,1113,2,147295.00
12,1113,3,55340.86
13,1090,0,10.25
14,1148,0,6.67
14,1148,1,8.76
15,1004,0,286793.44
15,1004,1,290112.63
16,1010,0,8.51
17,1102,0,608.60
17,1102,1,5.71
17,1102,2,566.39
18,1113,0,673.00
18,1113,1,388.56
18,1113,2,321.63
19,1102,0,622.70
19,1102,1,20.19
19,1102,2,389.71
20,1113,0,139.27
21,1113,0,866328.50
21,1113,1,405.23
21,1113,2,54.11
22,1090,0,881094.82
22,1090,1,20796.42
22,1090,2,34681.69
23,1113,0,1077.71
24,1148,0,6.46
24,1148,1,8.18
25,1113,0,857668.00
25,1113,1,1631.00
25,1113,2,134351.00
25,1113,3,47031.80
26,1090,0,52685.70
26,1090,1,60340.27
27,1148,0,6.47
27,1148,1,8.12
28,1113,0,77.63
28,1113,1,17213.48
29,1090,0,7.20
30,1148,0,5.80
30,1148,1,8.38
31,1004,0,313009.47
31,1004,1,295537.19
32,1010,0,9.74
33,1102,0,592.80
33,1102,1,6.19
33,1102,2,617.71
33,1102,3,320704.83
34,1113,0,912.00
34,1113,1,674.86
34,1113,2,331.97
34,1113,3,296027.47
35,1102,0,595.30
35,1102,1,23.72
35,1102,2,430.69
35,1102,3,326659.83
36,1113,0,100.85
37,1113,0,389.48
37,1113,1,31.85
38,1090,0,18313.52
38,1090,1,40601.86
39,1148,0,5.73
39,1148,1,7.14
40,1113,0,1079.34
40,1113,1,219.08
40,1113,2,154.20
41,1148,0,200.56
41,1148,1,7.41
42,1102,0,1137.67
43,1113,0,2178.80
43,1113,1,2247.40
43,1113,2,61716.60
44,1090,0,54674.71
44,1090,1,58870.76
45,1148,0,132.13
45,1148,1,7.68
46,1113,0,983.71
46,1113,1,129.21
46,1113,2,149.61
47,1148,0,134.90
47,1148,1,8.06
48,1102,0,7.42
48,1102,1,2010.16
48,1102,2,311594.89
49,1113,0,487.12
49,1113,1,380.50
49,1113,2,1386.13
50,1102,0,21.59
50,1102,1,457.56
50,1102,2,318830.87
51,1113,0,333.30
51,1113,1,57.01
52,1004,0,1243.00
52,1004,1,10938.50
53,1113,0,856.38
54,1090,0,752.16
54,1090,1,18318.33
54,1090,2,32127.34
55,1113,0,273.94
56,1148,0,6.56
56,1148,1,8.10
57,1113,0,714.00
57,1113,1,68581.00
57,1113,2,48666.69
58,1090,0,35455.57
58,1090,1,54805.04
59,1148,0,6.33
59,1148,1,8.14
60,1113,0,1980.72
60,1113,1,11503.42
61,1090,0,7.33
62,1148,0,5.25
62,1148,1,8.74
63,1004,0,43923.14
63,1004,1,277204.44
63,1004,2,296891.91
64,1090,0,43.96
65,1148,0,6.63
66,1113,0,43.00
66,1113,1,8.07
67,1090,0,5.88
67,1090,1,8.50
68,1148,0,5.51
69,1113,0,42.00
69,1113,1,7.14
70,1113,0,5.75
70,1113,1,7.00
70,1113,2,7.27
71,1004,0,9.19
71,1004,1,12.89
72,1090,0,66.80
73,1148,0,5.67
74,1113,0,68.33
74,1113,1,8.38
75,1004,0,35.41
75,1004,1,21.93
75,1004,2,24.00
76,1090,0,95.13
77,1148,0,6.27
78,1113,0,88.00
78,1113,1,9.08
79,1004,0,34.80
79,1004,1,20.73
79,1004,2,23.00
80,1045,0,34137.48
