Class, Processes, Run, Time, TD_TI, COMM_COMP
B,16,I,3.29339e+09,Time-Independent,Communication
B,16,II,3.33041e+09,Time-Independent,Communication
B,16,III,3.31616e+09,Time-Independent,Communication
B,16,IV,3.0311e+09,Time-Independent,Communication
B,16,V,8.88685e+07,Time-Independent,Communication
B,16,VI,8.87896e+07,Time-Independent,Communication
B,16,VII,9.16999e+07,Time-Independent,Communication
B,16,VIII,9.08915e+07,Time-Independent,Communication
B,8,I,4.06678e+08,Time-Independent,Communication
B,8,II,4.04872e+08,Time-Independent,Communication
B,8,III,4.05753e+08,Time-Independent,Communication
B,8,IV,3.97844e+08,Time-Independent,Communication
B,8,V,3.9145e+08,Time-Independent,Communication
B,8,VI,2.57752e+08,Time-Independent,Communication
B,8,VII,3.81022e+08,Time-Independent,Communication
C,16,I,3.74655e+09,Time-Independent,Communication
C,16,II,4.80797e+09,Time-Independent,Communication
C,16,III,4.80721e+09,Time-Independent,Communication
C,16,IV,4.80843e+09,Time-Independent,Communication
C,16,V,4.75093e+09,Time-Independent,Communication
C,16,VI,4.78138e+09,Time-Independent,Communication
C,16,VII,4.80976e+09,Time-Independent,Communication
C,16,VIII,4.34188e+09,Time-Independent,Communication
C,8,I,1.51251e+08,Time-Independent,Communication
C,8,II,1.3669e+08,Time-Independent,Communication
C,8,III,1.18481e+08,Time-Independent,Communication
C,8,IV,6.64551e+08,Time-Independent,Communication
