Class, Processes, Run, Time, TD_TI, COMM_COMP
B,16,I,1.06594e+09,Time-Independent,Computation
B,16,II,1.06598e+09,Time-Independent,Computation
B,16,III,1.06597e+09,Time-Independent,Computation
B,16,IV,1.06603e+09,Time-Independent,Computation
B,16,V,1.066e+09,Time-Independent,Computation
B,16,VI,1.06613e+09,Time-Independent,Computation
B,16,VII,1.06606e+09,Time-Independent,Computation
B,16,VIII,1.06627e+09,Time-Independent,Computation
B,8,I,1.05337e+09,Time-Independent,Computation
B,8,II,1.05339e+09,Time-Independent,Computation
B,8,III,1.05339e+09,Time-Independent,Computation
B,8,IV,1.05338e+09,Time-Independent,Computation
B,8,V,1.05339e+09,Time-Independent,Computation
B,8,VI,1.05338e+09,Time-Independent,Computation
B,8,VII,1.05334e+09,Time-Independent,Computation
C,16,I,4.29715e+09,Time-Independent,Computation
C,16,II,4.29719e+09,Time-Independent,Computation
C,16,III,4.29716e+09,Time-Independent,Computation
C,16,IV,4.29717e+09,Time-Independent,Computation
C,16,V,4.29716e+09,Time-Independent,Computation
C,16,VI,4.29718e+09,Time-Independent,Computation
C,16,VII,4.29714e+09,Time-Independent,Computation
C,16,VIII,4.29725e+09,Time-Independent,Computation
C,8,I,4.25779e+09,Time-Independent,Computation
C,8,II,4.25776e+09,Time-Independent,Computation
C,8,III,4.25778e+09,Time-Independent,Computation
C,8,IV,4.25771e+09,Time-Independent,Computation
